,precision,recall,f1-score,support
apple leaf,0.6388888888888888,0.696969696969697,0.6666666666666666,66.0
apple rust,0.78,0.8478260869565217,0.8125,46.0
apple scab,0.627906976744186,0.6136363636363636,0.6206896551724138,44.0
basil leaf,0.9772727272727273,0.9772727272727273,0.9772727272727273,88.0
cabbage leaf,0.9295774647887324,0.9428571428571428,0.9361702127659575,70.0
cherry leaf,0.7317073170731707,0.6976744186046512,0.7142857142857143,43.0
citrus canker,0.9594594594594594,0.8765432098765432,0.9161290322580645,81.0
corn smut,1.0,0.9545454545454546,0.9767441860465116,44.0
cucumber leaf,0.8043478260869565,0.7115384615384616,0.7551020408163265,52.0
grape downy mildew,0.8852459016393442,0.9,0.8925619834710744,60.0
maple leaf,0.8461538461538461,0.9361702127659575,0.8888888888888888,47.0
plum leaf,0.75,0.6122448979591837,0.6741573033707865,49.0
squash leaf,0.7222222222222222,0.8524590163934426,0.7819548872180451,61.0
tomato early blight,0.7959183673469388,0.75,0.7722772277227723,52.0
tomato late blight,0.782608695652174,0.8181818181818182,0.8,44.0
accuracy,0.8252656434474617,0.8252656434474617,0.8252656434474617,0.8252656434474617
macro avg,0.8154206462219097,0.8125279671705311,0.8123600350637301,847.0
weighted avg,0.8279371807785004,0.8252656434474617,0.8250329586422475,847.0
