image_path,label,label_id,split
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/116.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato early blight/google_0047.jpg,tomato early blight,13,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/google_0089.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/google_0299.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/google_0075.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/86.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/98.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/58.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cucumber leaf/google_0154.jpg,cucumber leaf,8,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/google_0041.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/12.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/google_0246.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0271.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/google_0222.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cucumber leaf/66.jpg,cucumber leaf,8,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cherry leaf/191.jpg,cherry leaf,5,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/zgoogle_0368.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cucumber leaf/google_0321.jpg,cucumber leaf,8,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/286.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/google_0129.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/google_0208.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/z66.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/1.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/222.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/google_0222.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/z79.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/google_0157.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/243 - Copy.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cherry leaf/google_0249.jpg,cherry leaf,5,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/329.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/google_0035.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/96.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/316.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/181.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/273.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato early blight/130.jpg,tomato early blight,13,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/104.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/maple leaf/google_0013.jpg,maple leaf,10,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/50.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato late blight/70.jpg,tomato late blight,14,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/34.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/google_0298.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/grape downy mildew/172.jpg,grape downy mildew,9,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/corn smut/google_0045.jpg,corn smut,7,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/google_0435.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/177.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/z266.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cabbage leaf/google_0264.jpg,cabbage leaf,4,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/332.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cucumber leaf/google_0274 - Copy (3).jpg,cucumber leaf,8,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/47.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple scab/google_0075.jpg,apple scab,2,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple rust/28.jpg,apple rust,1,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/70.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/156.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/basil leaf/125.jpg,basil leaf,3,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/249.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/google_0300.jpg,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/citrus canker/paper2.png,citrus canker,6,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/z357.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cucumber leaf/google_0196.jpg,cucumber leaf,8,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/squash leaf/z21.jpg,squash leaf,12,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/plum leaf/255.jpg,plum leaf,11,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/cucumber leaf/182.jpg,cucumber leaf,8,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/apple leaf/287.jpg,apple leaf,0,train
/kaggle/working/plantwild_extracted/plantwild/plantwild/images/tomato early blight/google_0226.jpg,tomato early blight,13,train
