,precision,recall,f1-score,support
apple leaf,0.6282051282051282,0.7424242424242424,0.6805555555555556,66.0
apple rust,0.7872340425531915,0.8043478260869565,0.7956989247311828,46.0
apple scab,0.6341463414634146,0.5909090909090909,0.611764705882353,44.0
basil leaf,0.9662921348314607,0.9772727272727273,0.9717514124293786,88.0
cabbage leaf,0.8918918918918919,0.9428571428571428,0.9166666666666666,70.0
cherry leaf,0.7692307692307693,0.6976744186046512,0.7317073170731707,43.0
citrus canker,0.9459459459459459,0.8641975308641975,0.9032258064516129,81.0
corn smut,0.9772727272727273,0.9772727272727273,0.9772727272727273,44.0
cucumber leaf,0.8222222222222222,0.7115384615384616,0.7628865979381443,52.0
grape downy mildew,0.8852459016393442,0.9,0.8925619834710744,60.0
maple leaf,0.88,0.9361702127659575,0.9072164948453608,47.0
plum leaf,0.7368421052631579,0.5714285714285714,0.6436781609195402,49.0
squash leaf,0.746268656716418,0.819672131147541,0.78125,61.0
tomato early blight,0.7755102040816326,0.7307692307692307,0.7524752475247525,52.0
tomato late blight,0.7450980392156863,0.8636363636363636,0.8,44.0
accuracy,0.8217237308146399,0.8217237308146399,0.8217237308146399,0.8217237308146399
macro avg,0.8127604073688661,0.8086780451718574,0.8085807733841014,847.0
weighted avg,0.8237428968698567,0.8217237308146399,0.8206967535955468,847.0
